  Step          Temp            Mu         Sigma        Energy
   448     0.0397244      0.754153      0.595305     -0.434421
   449     0.0397244      0.754153      0.595305     -0.434421
   450     0.0397244      0.754153      0.595305     -0.434421
   451     0.0397244      0.737229      0.545045     -0.398057
   452     0.0397244      0.737229      0.545045     -0.398057
   453     0.0397244      0.737229      0.545045     -0.398057
   454     0.0397244      0.822659      0.605927     -0.451721
   455     0.0397244      0.822659      0.605927     -0.451721
   456     0.0397244      0.779923      0.675476     -0.414228
   457     0.0397244      0.785679      0.720634     -0.390304
   458     0.0397244      0.722212      0.732728     -0.391586
   459     0.0397244      0.722212      0.732728     -0.391586
   460     0.0365465      0.722212      0.732728     -0.391586
   461     0.0365465      0.843535       0.66537     -0.391914
   462     0.0365465      0.833149      0.621754     -0.422637
   463     0.0365465      0.885241      0.572606     -0.389688
   464     0.0365465      0.844759      0.616885     -0.438225
   465     0.0365465      0.805358      0.630057      -0.44026
   466     0.0365465       0.86718      0.588391     -0.410547
   467     0.0365465       0.86718      0.588391     -0.410547
   468     0.0365465       0.86718      0.588391     -0.410547
   469     0.0365465      0.869732      0.570358     -0.414193
   470     0.0365465      0.869732      0.570358     -0.414193
   471     0.0365465      0.738804      0.641754     -0.426976
   472     0.0365465      0.876505      0.717192     -0.356638
   473     0.0365465      0.876505      0.717192     -0.356638
   474     0.0365465      0.876505      0.717192     -0.356638
   475     0.0365465      0.876505      0.717192     -0.356638
   476     0.0365465      0.872172      0.732816     -0.333309
   477     0.0365465      0.882295      0.718802      -0.33693
   478     0.0365465      0.747141      0.708973      -0.41073
   479     0.0365465      0.720349      0.636102     -0.417093
   480     0.0336228      0.630716      0.683707     -0.365054
   481     0.0336228      0.749283      0.695227     -0.431026
   482     0.0336228      0.599653      0.715616     -0.336373
   483     0.0336228      0.673549      0.685887      -0.39561
   484     0.0336228      0.797966      0.741375     -0.381733
   485     0.0336228      0.797966      0.741375     -0.381733
   486     0.0336228      0.797966      0.741375     -0.381733
   487     0.0336228      0.797966      0.741375     -0.381733
   488     0.0336228      0.715612      0.662671     -0.408567
   489     0.0336228      0.831909      0.717101     -0.381904
   490     0.0336228      0.831909      0.717101     -0.381904
   491     0.0336228      0.761299      0.765127     -0.379907
   492     0.0336228      0.761299      0.765127     -0.379907
   493     0.0336228      0.761299      0.765127     -0.379907
   494     0.0336228      0.761299      0.765127     -0.379907
   495     0.0336228      0.761299      0.765127     -0.379907
   496     0.0336228      0.761299      0.765127     -0.379907
   497     0.0336228      0.761299      0.765127     -0.379907
   498     0.0336228      0.761299      0.765127     -0.379907
   499     0.0336228      0.761299      0.765127     -0.379907
   500      0.030933      0.761299      0.765127     -0.379907
   501      0.030933      0.761299      0.765127     -0.379907
   502      0.030933      0.761299      0.765127     -0.379907
   503      0.030933      0.761299      0.765127     -0.379907
   504      0.030933      0.828536      0.698685      -0.40181
   505      0.030933      0.828536      0.698685      -0.40181
   506      0.030933      0.828536      0.698685      -0.40181
   507      0.030933      0.821652      0.654525     -0.448072
   508      0.030933      0.821652      0.654525     -0.448072
   509      0.030933      0.821652      0.654525     -0.448072
   510      0.030933      0.821652      0.654525     -0.448072
   511      0.030933      0.821652      0.654525     -0.448072
   512      0.030933      0.703051      0.643343     -0.418269
   513      0.030933      0.703051      0.643343     -0.418269
   514      0.030933      0.814095      0.637231     -0.444141
   515      0.030933      0.814095      0.637231     -0.444141
   516      0.030933      0.814095      0.637231     -0.444141
   517      0.030933       0.76196      0.641373     -0.437512
   518      0.030933       0.76196      0.641373     -0.437512
   519      0.030933       0.76196      0.641373     -0.437512
   520     0.0284583       0.76196      0.641373     -0.437512
   521     0.0284583       0.76196      0.641373     -0.437512
   522     0.0284583       0.76196      0.641373     -0.437512
   523     0.0284583       0.69101       0.65528     -0.402091
   524     0.0284583      0.775717      0.637603     -0.410672
   525     0.0284583      0.775717      0.637603     -0.410672
   526     0.0284583      0.626223      0.595576     -0.352793
   527     0.0284583      0.626223      0.595576     -0.352793
   528     0.0284583      0.626223      0.595576     -0.352793
   529     0.0284583      0.756675      0.570877     -0.422616
   530     0.0284583      0.756675      0.570877     -0.422616
   531     0.0284583       0.81493      0.627765     -0.438159
   532     0.0284583       0.81493      0.627765     -0.438159
   533     0.0284583      0.826847      0.694671        -0.438
   534     0.0284583      0.826847      0.694671        -0.438
   535     0.0284583      0.867982      0.622089     -0.439505
   536     0.0284583      0.854988      0.644254     -0.438337
   537     0.0284583      0.854988      0.644254     -0.438337
   538     0.0284583      0.854988      0.644254     -0.438337
   539     0.0284583      0.854988      0.644254     -0.438337
   540     0.0261817      0.854988      0.644254     -0.438337
   541     0.0261817      0.854988      0.644254     -0.438337
   542     0.0261817      0.854988      0.644254     -0.438337
   543     0.0261817      0.854988      0.644254     -0.438337
   544     0.0261817      0.854988      0.644254     -0.438337
   545     0.0261817      0.854988      0.644254     -0.438337
   546     0.0261817      0.854988      0.644254     -0.438337
   547     0.0261817      0.854988      0.644254     -0.438337
   548     0.0261817        0.7793       0.57698     -0.426266
   549     0.0261817        0.7793       0.57698     -0.426266
   550     0.0261817        0.7793       0.57698     -0.426266
   551     0.0261817        0.7793       0.57698     -0.426266
   552     0.0261817        0.7793       0.57698     -0.426266
   553     0.0261817        0.7793       0.57698     -0.426266
   554     0.0261817      0.772538       0.57902     -0.430556
   555     0.0261817      0.777105      0.593064     -0.436485
   556     0.0261817      0.869794       0.54609     -0.371523
   557     0.0261817      0.869794       0.54609     -0.371523
   558     0.0261817      0.869794       0.54609     -0.371523
   559     0.0261817      0.869794       0.54609     -0.371523
   560     0.0240871      0.768687      0.621593     -0.437986
   561     0.0240871      0.768687      0.621593     -0.437986
   562     0.0240871      0.768687      0.621593     -0.437986
   563     0.0240871      0.768687      0.621593     -0.437986
   564     0.0240871      0.768687      0.621593     -0.437986
   565     0.0240871      0.768687      0.621593     -0.437986
   566     0.0240871      0.768687      0.621593     -0.437986
   567     0.0240871      0.768687      0.621593     -0.437986
